Layer,Name,GEOID,Longitude,Latitude,VRLE_2020,VRLE_2019,VRLE_2018,VRLE_2017,VRLE_2016,VRLE_2015,VRLE_2014,POP_2016-2020,POP_2015-2019,POP_2014-2018,POP_2013-2017,POP_2012-2016,POP_2011-2015,POP_2010-2014,POP-M_2016-2020,POP-F_2016-2020,POP-W_2016-2020,POP-W_2015-2019,POP-W_2014-2018,POP-W_2013-2017,POP-W_2012-2016,POP-W_2011-2015,POP-B_2016-2020,POP-B_2015-2019,POP-B_2014-2018,POP-B_2013-2017,POP-B_2012-2016,POP-B_2011-2015,POP-A_2016-2020,POP-A_2015-2019,POP-A_2014-2018,POP-A_2013-2017,POP-A_2012-2016,POP-A_2011-2015,POP-H_2016-2020,POP-H_2015-2019,POP-H_2014-2018,POP-H_2013-2017,POP-H_2012-2016,POP-H_2011-2015,POP-P_2016-2020,POP-P_2015-2019,POP-Q_2016-2020,POP-Q_2015-2019
Community area,Grand Boulevard,38,-87.61786000,41.81294700,70.753502308,73.887009197,73.20366722,72.7974,72.9405,73.4,73.1,23665.6066928703,22636.700945,23193.439827,22898.81088,22628.01738,22744.606033,22526.031015,9649.09516162965,14016.5115312406,975.618259388553,815.60578,614.837209,602.787444,570.000185,718.790599,21196.9119208803,20751.203819,21609.512981,21169.100503,21114.203752,20725.093976,189.954202978169,168.929057,159.945539,87.951654,88.968452,126.919082,771.199796285234,512.991611,403.244253,387.319996,373.230148,574.156336,29.9603786767176,65.9655754606974,450.99475583181,435.900629169703
Community area,Kenwood,39,-87.59618600,41.80891800,77.495325082,80.503191001,79.97172749,77.2299,78.5048,80.4,80.0,14117.5703460156,14201.388739,13558.77,13502.261874,13382.820763,13680.259304,14124.438885,6485.29757500805,7632.27277100757,2935.69227358078,2741.254214,2603.203667,2369.118499,2334.703731,2258.543611,9505.46161555053,9770.599235,9353.917029,9634.074639,9577.626146,9836.088344,675.048550137497,785.03271,812.069765,856.842468,785.996876,799.298771,359.640450961463,393.794134,371.463348,296.223543,370.850855,454.949246,33.0076104257985,30.294716439106,581.548392059076,537.077425901948
Community area,Lincoln Square,4,-87.68751300,41.97518200,78.898425667,81.537196922,80.11456771,79.8616,81.7223,81.3,80.5,41269.8922087714,42033.841869,41642.093835,41641.071768,41405.230524,40681.957694,39472.443987,19696.3857865457,21573.5064222258,26534.5943342211,27105.261844,26838.78047,26726.670274,26496.254421,26345.786215,1232.99502422392,1582.086653,1609.37753,1687.906639,1484.576902,1525.936754,3758.09372505704,3889.473239,4003.615978,4821.085163,4661.418371,4523.323421,7364.77326690105,7608.817757,7720.125661,6972.005058,7275.874257,7176.344911,15.9991203833841,16.0060368162923,2285.43495378228,1920.89837281755
Community area,Washington Park,40,-87.61793600,41.79235600,68.985987557,70.376794277,69.76813083,69.5243,68.458,69.4,71.3,10428.8960893512,10969.043052,11354.93483,11502.333074,11869.152228,12082.036073,11648.31768,4638.97625423192,5789.91983511927,191.390875625933,121.047517,123.124441,85.185044,48.332543,48.288376,9560.27783673295,10202.245245,10436.097554,10801.369281,11334.102658,11661.878103,0.143104246444767,0.014421,20.995457,14.003634,14.010143,9.011937,233.410989218341,263.164084,243.289533,278.131183,215.988424,158.054679,9.00151656466926,10.002123190537,353.813062803201,356.810883261084
Community area,Hyde Park,41,-87.59230500,41.79408800,81.971614091,82.673979726,83.08731332,82.9254,81.8709,81.1,80.8,22672.1445314229,22487.887103,22609.521911,22193.257875,22102.483561,22373.76842,22095.101032,10652.0850354079,12020.059496015,10765.5220094694,10966.280929,10914.940146,10484.098403,10645.47269,10608.420546,5188.50895631228,5721.923445,5909.08215,5907.586107,6173.184301,6595.409281,3498.13922743691,3301.513407,2947.489522,3212.719062,2900.317244,2907.933069,1754.91320908226,1610.161836,1853.839884,1720.120805,1598.697645,1427.253356,14.5999560767763,63.2103872036617,1224.69975817213,948.147674078173
Community area,Woodlawn,42,-87.59492400,41.77887700,74.743485782,75.281395718,74.88533713,74.7261,75.221,75.7,76.0,23055.3571324339,22922.634445,23140.929481,23407.480183,24062.789591,24533.488898,23581.911149,10328.6489244536,12726.7082079803,1887.10898985133,1857.305142,1888.456716,2076.490944,1990.218711,1854.106032,18948.9613169127,19048.36329,19302.749021,19495.333528,20316.879266,21002.89019,775.349887505292,856.795113,896.094177,803.801752,759.847669,818.576683,693.493872015489,812.231272,779.779878,732.455287,730.391143,631.267138,45.1842646279463,51.8010858121495,661.870561479359,466.974961660869
Community area,South Shore,43,-87.57279000,41.76158300,69.095880083,71.868932078,70.73129601,71.1259,71.5166,71.2,71.4,43430.0866008528,43755.223524,43021.509584,42388.705207,42483.180857,43158.843838,42818.39282,19139.9136447177,24290.1729561351,1094.14806515561,870.045789,952.179068,1055.808334,966.695415,801.922394,40508.0566001281,41388.926884,40623.873181,40308.626072,40186.718851,40705.840836,95.8126942271855,83.66776,64.980812,115.062733,120.806837,104.512986,1180.35000830754,1138.299421,1027.579389,462.232222,707.928964,651.029539,67.7577813623154,70.630767508558,465.916472779225,398.2076723343
Community area,Chatham,44,-87.61596500,41.74020600,70.66873789,72.058629299,72.37972999,73.7709,73.5322,72.5,73.3,31490.2175992272,31122.174153,30810.328364,31237.685596,31108.316046,31519.655918,31663.786326,13659.0941857295,17831.1234134978,269.712910690552,585.861765,601.781005,509.982856,459.535662,389.19854,30373.2641663527,29861.251098,29584.610942,30090.381808,30071.567506,30588.364192,79.3344956913697,125.556999,183.694512,111.969544,93.542546,110.530895,271.966650658461,262.972726,387.809633,387.024537,312.923982,288.891433,0.0,11.9959547864633,493.555634747487,359.9173243246
Community area,Avalon Park,45,-87.58634700,41.74419700,71.507862375,74.621979029,73.37941529,72.6333,75.097,75.1,73.4,9496.93083825519,9589.463276,9660.057472,9900.021093,9712.826578,9686.492551,9964.572381,4152.09969331058,5344.83114494461,79.7966430174332,92.510315,61.406552,60.16037,36.580123,52.033281,8996.95481936637,9269.739148,9305.889561,9636.158974,9507.735059,9458.995115,125.752912217122,68.20317,77.94648,37.024578,18.512289,57.485529,0.602348365776648,9.4225,54.173799,64.917934,66.758811,60.776388,0.0,0.0,201.224071272409,129.289297137544
Community area,South Chicago,46,-87.55143500,41.74124300,70.979027642,71.69052552,73.01633002,73.3726,72.4902,73.7,73.7,28675.6600252383,28332.448885,27463.282872,26832.251579,26077.154759,26380.071432,26895.509021,12979.7005310561,15695.9594941822,819.199513666945,817.585583,632.490419,766.397281,642.092,730.162136,21557.1842716448,21741.579359,21078.517152,20560.530488,19997.052919,19844.916322,96.9895244519624,80.942446,81.860338,15.02278,16.021253,110.01112,5963.89374762438,5707.300024,5704.652427,5554.629281,5453.307185,5722.153972,29.8700269137735,37.801811941192,178.635344956867,39.1917559851092
Community area,Burnside,47,-87.59647000,41.72818100,71.684349359,72.644522088,70.24801757,68.9951,70.4722,70.2,74.1,2169.35480930411,1996.719897,2323.971864,2242.710061,2429.676405,2587.231719,2604.224191,1078.28930187562,1091.06550742849,54.6742022547467,10.007612,10.003205,9.983049,10.946079,0.044337,1928.82520066096,1922.117703,2253.366249,2185.989828,2406.663772,2586.96374,0.0138796578396485,0.01374,0.037885,0.029547,0.021607,0.020299,154.992072288615,38.839412,36.801265,32.854632,0.21807,0.315076,0.0246307593365717,0.0307884491707146,30.8238124081145,25.8133136757381
Community area,Calumet Heights,48,-87.57272000,41.72967300,70.888287734,74.765684435,73.53857853,73.605,74.4935,74.6,76.2,12340.4139634367,12798.740461,12940.395515,13171.752659,13289.917053,13716.076382,13384.583347,5212.3177240628,7128.09623937388,108.102883320976,142.777606,171.75875,218.731384,160.80901,307.55598,11529.7985371968,12126.895438,12304.393771,12495.824069,12652.995734,12905.478336,17.0162236181893,8.981379,14.956267,12.964033,11.966102,4.980585,543.456034838835,476.122307,457.212669,456.166567,464.037435,442.028144,22.9576030609148,28.9467285194266,89.0731845947596,84.085989486056
Community area,Roseland,49,-87.62336600,41.70658800,69.954365003,71.468448914,70.59815966,70.7762,72.2114,73.3,72.9,39749.5581447826,39252.989495,41199.293264,42527.583088,42417.723176,42593.11377,44356.415456,18922.3601013931,20827.1980433895,608.90850561186,557.887743,490.855793,456.837022,417.847263,558.559946,37886.9396022888,37606.30775,39736.322411,41198.369342,41043.203454,41115.719657,106.594826072313,164.945709,149.03148,125.800443,168.784404,184.746615,521.929782385723,460.570075,534.922106,549.703244,397.909083,452.091627,16.999606292317,28.0035975857914,445.127264753574,384.008233873331
Community area,North Center,5,-87.68383900,41.94781100,80.862917402,82.971569893,81.30026136,81.5534,82.1327,81.6,81.4,36180.7125870834,35603.029202,35767.84226,35853.085095,35006.625026,34689.0367,34877.438225,17744.9920994889,18435.7204875945,27023.1010759348,27649.585376,27705.551275,27589.977942,27018.322171,26346.438808,924.267246078164,788.023573,627.847807,689.678995,746.92874,703.862546,2195.28984080335,1771.234606,1797.024997,1817.625765,1590.401544,1520.856846,4337.6329662626,4099.634376,4105.026844,4222.619712,4408.862891,5016.47115,39.9957060996118,48.9884918571322,1545.34005125839,1229.02222700539
Community area,Pullman,50,-87.59825200,41.70613100,70.254886091,73.149310568,72.8216914,71.5316,71.849,72.8,74.1,7175.85352669127,6881.377037,6859.982594,6659.361888,6670.606608,6553.859864,7021.821534,2881.49563562404,4294.35789106723,857.045045723057,681.137138,674.189454,679.186324,632.365862,463.820206,5774.30658778836,5611.563622,5760.8183,5616.924685,5586.557701,5479.488836,4.99953259259705,8.987266,4.995626,9.983812,42.965035,33.960986,309.720834445086,380.180516,305.264475,310.380209,338.235387,553.671442,0.000392387935209389,0.000438551221704611,181.798773596835,211.763369269697
Community area,South Deering,51,-87.57005800,41.69063900,70.096950573,73.974569516,74.30671578,74.3551,74.7152,74.1,74.2,15151.3606210392,15488.044697,14720.420872,14632.673422,14648.61006,15317.191426,15579.115762,6587.0807234227,8564.27989761652,775.106950175874,610.337557,714.070231,626.283387,809.584202,621.691316,9606.42869003804,10128.926726,9390.10694,9410.884845,9659.810819,10115.53849,0.181143859342098,0.364945,1.281825,1.324988,1.336488,8.164716,4714.3829896167,4793.837336,4623.013299,4625.320809,4170.559364,4607.549697,0.0177660982721962,0.0224829295654044,55.2415738180079,44.3189133312229
Community area,East Side,52,-87.53490700,41.70730600,76.650129545,78.25126976,78.6795586,78.4471,78.987,78.3,79.2,22698.4221106478,23448.75298,23972.409787,23488.217628,22709.734435,23521.299299,23434.369279,10653.9230648296,12044.4990458183,2928.70461600285,3227.103159,3506.982257,3816.2257,3903.086885,4015.081809,444.861654347226,956.650778,888.59183,940.391079,805.760557,977.801073,71.9852270801306,106.662911,47.07879,64.685778,65.680605,27.952428,19210.4961906478,19178.620091,19541.767764,18842.541276,18122.483904,18712.512492,0.129973416433357,0.20308346317712,42.2007170217093,34.043309822528
Community area,West Pullman,53,-87.63574500,41.67382000,68.564358256,70.463293092,69.67128575,70.5622,71.9554,72.0,71.8,26160.478314296,26700.344133,27137.586846,27416.297592,27252.079085,27659.381285,27853.012819,11662.1558575169,14498.3224567791,232.885971875135,212.346836,185.337314,157.786111,280.932823,279.717907,23580.6945290076,24523.425605,25109.923126,25415.400665,25273.863032,25868.894364,0.00116320481354353,0.00272,19.007743,63.627308,68.625121,65.706251,1806.34256895435,1546.728415,1563.862583,1678.315635,1486.672463,1348.566946,24.9881006002436,14.9992747867997,441.737935523496,448.361844851908
Community area,Riverdale,54,-87.60284900,41.66013700,67.213490178,67.964912188,67.33503796,69.7631,71.7137,68.1,68.9,7377.567309056,7325.656375,7231.495006,7366.055605,7353.074556,7064.899251,7162.067606,2851.30311259554,4526.26419646046,78.4204234720635,94.921614,138.147176,158.067589,142.993396,86.406997,7020.39558383585,6979.243892,6893.811556,6896.775861,6941.410093,6693.655446,0.0161521520475309,21.837076,21.875513,22.880006,25.77776,25.817336,278.142948036525,265.704023,197.127177,315.045736,273.559923,285.37062,0.0055307710532635,0.0102549972019019,0.551118932834369,0.551546132735003
Community area,Hegewisch,55,-87.55680300,41.66818800,75.112223288,77.241165322,78.26511053,77.317,79.1156,77.2,77.7,9087.3133986853,9003.049938,9116.961917,9294.356659,9062.984675,8866.301854,9246.199924,4482.01545788839,4605.29794079691,3343.37104910662,3153.625216,3563.383494,3603.094208,4056.699467,4030.894664,629.054020404196,388.655979,462.264498,345.110181,490.336403,615.339704,0.259768843990831,22.090181,27.814092,30.75917,24.81155,30.685958,5097.63292216485,5439.686034,5071.331599,5329.245916,4541.503972,4206.1352,0.0,0.0,16.9956381656361,21.8655892346228
Community area,Garfield Ridge,56,-87.76424600,41.79618500,78.321733438,79.938796939,79.10295587,78.3771,78.5809,78.6,78.3,35975.5561785113,37113.7674,36372.202308,36356.738146,35456.081258,35544.363197,34661.941242,18379.9408131796,17595.6153653316,14707.809632377,15531.046659,15648.352598,16246.10731,16181.432746,16818.892865,1648.32562006949,2022.789672,1723.002902,1679.744827,1485.821887,1504.383315,354.788970636276,444.859057,436.765076,373.893237,334.421273,475.293272,19002.4569078649,18935.771633,18322.800683,17854.041371,17242.876017,16591.35338,0.204597751248945,0.209511414473138,230.080046045678,222.506455257796
Community area,Archer Heights,57,-87.72636500,41.81087300,77.261817313,78.878765707,82.43765916,81.7844,79.3705,80.3,80.6,13612.3516636103,13816.249237,13178.413555,13266.389617,13357.416223,13383.124533,14085.472045,7436.15729958086,6176.19436402947,2000.8359518566,2119.365691,2146.914582,2228.096829,2495.422016,2591.234701,105.78501059952,215.351464,204.037009,204.852479,99.460787,133.875028,614.423622590137,833.61456,659.297496,592.308737,445.400647,399.365775,10865.3139762329,10700.585434,10209.744052,10283.730977,10278.440506,10200.128792,0.0,0.0,25.9931023311951,27.9543517032464
Community area,Brighton Park,58,-87.69885900,41.81736400,76.771575003,79.717756182,79.34661231,79.5437,79.4277,79.9,80.7,42913.9983700713,44347.377613,45227.642777,45004.97148,44416.517376,44367.489871,44297.709063,21917.7323735423,20996.265996529,3184.45894725809,3036.97452,3097.591153,3179.489813,2817.841275,2864.11188,720.984467509228,1115.519776,1072.855916,935.584601,935.574708,1095.411956,4503.43811106787,4524.910418,3629.345254,3621.702043,3275.413328,2969.036074,34167.7734712449,35774.951161,37486.05438,37351.331702,37519.207223,37658.033061,25.8510400220738,13.9197907811167,311.492332969103,364.258080354403
Community area,McKinley Park,59,-87.67250000,41.82992700,77.795759642,80.425544893,81.91081105,81.1919,80.356,81.6,82.5,15251.2649196378,15188.12425,15927.251008,15773.789526,16071.188564,16342.738104,16457.873886,7604.82135597643,7646.44356366137,2361.69330784756,2636.178456,2727.628864,2675.276852,2667.582515,2806.208534,186.305082593561,261.344078,184.841526,191.875184,179.928455,531.708147,4558.24891620045,3619.732807,3918.777065,3100.345914,2912.076956,3139.085052,8046.68698391633,8560.357672,8983.972953,9551.100237,10097.384056,9622.458005,0.171667306288142,0.103997533162201,93.1589994008471,155.03065184805
Community area,Lake View,6,-87.65600100,41.94423600,80.382195971,82.453542077,82.2431649,81.9584,81.6764,81.2,82.4,90712.9535867236,90172.378144,89422.567823,89243.658148,88879.254895,87630.311051,87628.353027,46958.5385842233,43754.4150025003,68951.148574434,69986.301257,70110.939523,70585.341873,70430.766578,69999.146235,3833.9991601975,3610.642387,3274.778905,3094.08024,2974.105589,3060.481502,6417.44802945613,6305.41008,6074.651832,5818.625186,5977.605098,5861.273054,8278.13075037552,7770.418383,7236.612121,7358.045079,7124.727908,6393.828626,31.271711634196,42.9473424484763,2907.11130393891,2482.63785490448
Community area,Bridgeport,60,-87.64878400,41.83615100,79.257610591,80.3469067,79.56921575,79.0052,79.8913,80.6,80.3,32761.0725200151,34483.901503,33832.510896,33638.314499,32802.415689,33897.341755,31907.004711,16442.0644711627,16319.0080488524,11571.2891313891,11777.874414,11264.00774,11276.905479,10917.838295,10782.784532,780.710164044327,1067.259062,958.997509,939.78486,965.635564,1032.598583,13241.1440907769,13724.544573,13363.131904,13163.178503,12227.995731,11726.010942,6833.02517935269,7564.23115,7946.845404,8090.661791,8192.011586,9577.033006,20.9774330764917,21.9769700640618,313.92652137554,383.575830944931
Community area,New City,61,-87.65917100,41.80901700,71.321877915,73.705978569,74.06552613,73.6413,75.3685,76.8,75.5,38874.4167503761,39458.488229,39499.663075,39594.654228,41126.205394,41036.151518,41557.955631,19905.7498980105,18968.6668523655,4811.34622254333,4988.491625,4596.848999,4852.90647,4963.78847,5043.012024,8995.94661856979,9321.787904,9526.003541,9007.314693,9686.265688,9970.441462,732.769167393626,767.446612,811.190625,1039.332096,989.478539,813.083914,24010.5584391751,24279.259603,24404.797246,24548.109091,25280.04999,24999.399178,0.998224550706871,39.5018838951807,322.78905247602,264.77929376286
Community area,West Elsdon,62,-87.72421300,41.79297700,78.801979884,83.077872208,82.60048111,81.3973,79.9381,80.1,81.2,18378.4822008581,18992.537247,19199.775955,19075.725003,19791.495416,19056.978981,19028.720496,9091.61546396706,9286.86673689104,2705.75364173856,2752.305444,2841.875199,2706.136647,2822.349384,3214.697809,124.32034058508,318.203001,289.299532,264.481416,220.701191,276.580883,508.368556172323,533.445242,408.434782,374.820951,305.479491,300.513933,15013.2704788873,15362.943105,15639.457533,15706.510361,16446.876619,15274.056303,12.9191260159229,15.9004627888281,13.8500574589212,9.90129005711878
Community area,Gage Park,63,-87.69643300,41.79542900,74.226939037,79.472036191,78.85277221,81.079,81.0732,78.8,78.5,35208.7285008197,37204.527625,39001.19833,40560.391795,40607.075266,40893.061383,40077.995053,17233.6391886647,17975.0893121551,1267.43443450834,1474.139684,1496.7664,1524.044538,1424.949735,1455.547009,1626.42527670037,1596.817094,1614.841077,1541.829327,1453.35485,1428.048548,252.833450393545,295.70765,260.005803,243.419258,257.024328,418.569573,32033.9870978689,33997.142905,35824.047756,37392.584989,37628.412869,37741.721971,0.0,0.0,28.0482413485868,51.1434790249115
Community area,Clearing,64,-87.76851700,41.77958200,77.028355198,77.997419059,76.32861529,76.4491,77.3562,77.4,77.6,24422.4950294368,25018.229401,25777.417237,25936.324641,25248.431295,25009.567549,24499.967443,12523.8306127208,11898.664416716,9514.90037554603,10449.824453,9989.442007,11183.711267,11678.857036,11878.668499,620.727787379841,602.115166,444.216421,404.493307,349.497235,147.636263,145.049306150472,137.035343,151.171423,190.076043,377.927198,333.893696,13913.8739157426,13539.680454,14873.991503,13735.369396,12568.173626,12400.391658,62.9503661468593,55.9590776277574,143.993278471022,256.885317265246
Community area,West Lawn,65,-87.72692700,41.76977400,77.449369132,78.905521378,79.30583724,79.5391,79.7793,79.5,79.6,32045.339405368,31799.903511,32089.494041,33015.300947,33501.511742,32659.323436,33382.222214,16675.6837652968,15369.6556400711,3808.55626759707,4018.489088,4412.0199,5018.426815,4993.298401,4973.087374,804.10934930129,940.69254,898.19587,1189.324391,1158.027402,1073.339576,73.1269750583703,190.943731,267.582598,220.577323,228.832554,195.981399,27254.4288944382,26689.081775,26525.839604,26582.366433,27085.974824,26314.925802,26.9858962270812,24.9881743067223,44.2242592860955,58.2828863903167
Community area,Chicago Lawn,66,-87.69566700,41.77184900,71.04881418,73.525381072,74.36022627,75.3702,75.2786,74.2,74.2,51112.375885581,51182.393421,51850.101692,52957.489239,54118.837415,55406.422174,56160.941996,24234.9810939838,26877.3947915972,1244.03392473072,1521.852592,1820.178548,1876.759781,1970.784282,1873.980382,20308.3271254937,22410.339574,23239.646724,23863.067853,25056.647572,26131.698801,243.100983566043,263.16716,152.362415,226.745286,303.646871,525.037322,28324.8466498535,26412.539088,25951.104671,26267.540713,26049.937451,26330.175218,0.0,0.0,988.014884711942,816.475855841567
Community area,West Englewood,67,-87.66659800,41.77592600,69.371595606,71.849620019,71.92237118,69.9263,68.9264,70.8,72.3,26359.2280927311,26567.535681,28462.230974,30159.194261,31044.55973,32382.452317,34483.27526,11915.1207004295,14444.1073923015,395.827488073467,428.475968,313.157242,297.860796,253.0233,243.888473,22679.8511809976,23106.0522,25290.803706,27257.290305,28214.930112,29947.554489,24.3053787257687,27.354462,5.805761,5.291591,6.399867,12.735114,2761.59053005553,2723.466508,2464.92265,2203.194849,2187.82456,1836.372204,16.030824458791,18.0065772672593,254.718244657619,272.715654469849
Community area,Englewood,68,-87.64250200,41.77720100,68.117687605,71.069051292,71.23354566,70.8088,71.4822,71.1,70.4,21972.9048412385,22874.516993,23745.171407,25025.240616,25971.333141,26070.430503,27240.530339,9869.86053794937,12103.0443032891,255.070063706732,140.282029,172.375324,181.258923,204.241715,199.388482,20234.8387227535,21718.249667,22458.32956,23781.811886,24752.805959,24816.658396,130.992775292197,67.98779,76.02591,68.088737,70.068139,84.077811,864.494566261891,845.170621,1023.742487,842.965445,756.061858,682.117263,100.266337961456,37.6092045059394,363.101800956992,106.148291650819
Community area,Greater Grand Crossing,69,-87.61613900,41.76325100,69.732036078,71.650329125,70.63710403,69.1845,70.6731,72.1,71.4,29493.0728696453,30215.363374,30871.507599,31835.121987,32526.654475,32424.10619,32919.281605,12722.6004203518,16770.4724492935,258.232017145518,305.348667,341.495957,394.156951,432.274953,467.124874,28190.52680551,28957.551441,29745.035567,30742.093795,31525.898438,31314.464404,30.1695338759235,4.252444,0.236904,4.142039,5.291799,4.35777,591.099952113999,524.557917,374.073978,449.483142,387.131166,358.191256,6.02902218551894,5.01674668742573,308.949169209137,321.738769798066
Community area,Lincoln Park,7,-87.64949100,41.92269600,79.795250465,80.689056873,81.5282629,81.3034,81.2813,81.4,81.3,62687.787792339,62535.374094,61994.132528,61179.78798,60700.4131,60352.442598,59540.455961,31435.7546678026,31252.0331245364,49875.634716588,49044.191232,48898.134713,48309.100205,48020.312162,48340.027835,2419.50948251163,3241.722993,2992.263446,3026.075236,2950.723516,3010.236836,4699.74200596668,4590.233994,4683.293332,4152.039947,3750.336191,3315.547453,4043.88450594552,3923.108278,3756.871183,4075.866064,4300.032918,4111.950884,6.16336457455942,16.4135500333504,1578.95184130102,1713.5850967323
Community area,Ashburn,70,-87.70836300,41.74575600,72.599355986,76.144405963,77.0811225,76.0591,76.1606,76.7,76.6,43084.5733449008,43537.909724,44160.608823,43962.54588,43448.497009,42921.882869,42980.50365,20993.4369308122,22091.1364140887,4331.80081151956,4123.149619,4438.108328,4758.542524,5062.255045,5567.878377,19419.4201899872,20083.413031,21133.10877,21077.007544,20977.155256,21056.554025,355.896047155621,425.852944,379.78291,315.494982,314.366591,286.959282,18397.9866894124,17969.311266,17350.621422,16967.234688,16406.866251,15489.923115,21.0037207118951,32.0057044502431,534.81258162687,978.693601267435
Community area,Auburn Gresham,71,-87.65630500,41.74420300,70.289426064,71.051660202,71.53084266,72.2612,72.2199,72.8,73.4,46777.517439386,45992.397076,45362.697741,46375.131648,45862.525046,45936.250275,47715.890235,21781.660236689,24995.8572026971,489.794459560266,525.608399,363.456854,325.471487,258.102464,232.225293,44225.2136162832,44041.754831,43722.695056,44667.158809,44476.800228,44647.433589,124.247774318478,163.189356,120.165193,143.003658,152.939927,117.013065,1399.19374008092,1004.948828,838.146794,867.448729,617.94053,692.721733,43.7046926217313,57.385587641564,336.003078040543,230.511615007138
Community area,Beverly,72,-87.67507200,41.71314800,77.346615128,79.487946663,79.33840492,79.5787,78.0742,77.9,78.6,19857.914836576,19826.532537,20470.043944,20855.500137,20867.497801,20845.497753,21025.109137,9294.17252101644,10563.7423155595,11112.2064456634,11364.944846,11574.913667,11990.943367,12022.498678,11584.907529,6616.57298346933,6862.029863,7220.385385,7116.762643,7119.817573,7329.602041,204.866568891221,159.88825,189.907629,162.750764,88.846717,100.820892,1179.17248467543,977.754764,1094.84534,1093.703139,1198.020694,1411.975347,0.0971242456090453,0.222220342378744,690.009137557103,414.1780207608
Community area,Washington Heights,73,-87.64889700,41.71749500,70.270531354,72.781468547,73.13897428,72.7433,74.3132,73.8,72.3,26828.9608448237,26635.007753,27247.601967,27346.122886,26951.213785,27015.131132,26338.832456,11721.8176046368,15107.1432401869,464.737977833251,373.541487,283.220101,198.873353,185.691305,364.768953,25598.093022517,25640.23493,26444.319928,26247.088163,25955.377209,25924.989265,47.1271403743105,43.129193,38.022082,8.286662,8.209775,0.213659,393.222961887809,305.14091,164.099043,215.955558,325.15465,288.186409,18.904393677739,28.7815313096741,302.916253989287,302.732873047656
Community area,Mount Greenwood,74,-87.71318900,41.69487600,77.5818179,78.246616854,77.16068812,77.0195,78.1464,78.7,78.9,18846.4286515317,19196.883036,19348.88965,19283.21551,19035.421135,18790.928644,18365.187843,9048.69526207178,9797.7333894599,15285.0765629976,15896.638992,16294.965162,16328.952545,15729.86093,16289.152837,614.041680724543,724.606776,673.773376,699.206099,603.99162,666.60809,303.122427135987,354.005082,370.016239,432.976254,367.924515,382.781799,1978.24572410298,2014.742356,1842.157647,1656.140094,2093.860995,1210.506071,0.0052530604417606,0.0,665.919083390766,248.801676018694
Community area,Morgan Park,75,-87.66906200,41.68972900,72.421405093,75.012953862,75.65541437,75.7315,75.1967,74.8,74.4,21108.8855565471,21594.815938,22225.163841,22899.810992,23544.305723,23463.276298,23748.06962,9696.83507655691,11412.0504799902,6527.99444504597,6566.870461,6152.037579,6501.03542,6622.499048,6876.067715,12743.8712525877,13379.039354,14406.55125,14800.469548,15316.159843,15174.039742,93.9506747651478,68.263612,31.244067,39.224159,51.061602,57.278243,1048.47114713324,1065.268399,1070.126713,984.178943,958.439029,807.699488,19.8455859715773,31.8388723715635,585.34547738654,539.813182093169
Community area,O'Hare,76,-87.89369900,41.97569600,80.179939655,81.439524423,80.92485666,81.6962,81.8094,81.8,83.1,14475.6202870898,15655.21018,15414.729559,15064.612368,15759.348472,16263.084037,17021.983358,7800.62425344438,6674.99603364545,9566.37776566156,10612.736073,10626.118689,10896.710405,10705.78356,11352.792321,902.005374017134,355.815393,297.729846,218.014135,319.641139,170.80573,2166.58966573755,1727.476521,1497.326162,1127.765788,1527.349572,1624.950536,1536.30814708013,2740.760275,2474.996366,2234.067694,2533.037954,2481.846966,0.0,0.0,303.83195453627,260.539394969535
Community area,Edgewater,77,-87.66341900,41.98671900,79.928423114,81.415380696,80.08425791,80.0619,80.3025,80.7,80.6,49426.1383913535,48691.025555,47993.621463,46677.407637,46320.302357,45840.206201,46261.664506,25488.0704040886,23938.0679872648,27169.8739587389,28217.44844,26953.701374,26129.00429,25978.155844,25411.487567,5904.65789662793,5505.945143,6049.441165,5882.94836,5971.49627,6111.631914,6198.79802528542,5677.481041,5886.070414,5280.079837,5189.255318,5198.620589,8331.75524232549,7633.467544,7663.058691,8037.976125,7973.693992,7844.492771,54.0228901224597,110.44338952145,1619.22076389055,1432.24585019884
Community area,Near North Side,8,-87.63331800,41.89961100,81.075132878,82.124658502,82.60521288,82.3812,83.2688,83.7,83.7,86258.0238050234,84576.024332,81566.715697,80742.306379,78286.984188,77723.292257,76519.459942,41366.7488914899,44891.2749135335,59974.7514006465,59188.301197,57876.629298,57505.97575,56315.909233,55658.277484,6442.78575354322,7581.996953,7270.590877,8112.60379,7405.257846,7956.363,11504.6835559571,10937.481186,9832.165972,8667.613626,8520.194676,8365.646528,5400.06369780657,4893.290356,4870.307917,4989.425571,4267.331463,4000.914362,1.37862824150705,46.9513692584824,2790.4154612112,2121.42260144796
Community area,Edison Park,9,-87.81378000,42.00762700,79.981282102,82.637138602,82.66337722,83.0617,83.4075,81.6,79.7,10998.445606974,11254.802798,11714.229038,11742.988882,11140.885681,11346.613382,10983.958699,5306.40132886272,5692.04427811132,9098.42534774973,9374.093849,9747.468735,9725.314371,9884.640962,9917.379724,45.9874562573443,42.007089,222.846756,193.840753,147.879325,119.912172,281.883085699313,386.933651,288.137672,314.047991,240.909236,167.072475,1085.40137728414,1130.059414,1167.003489,1204.006672,751.491189,1062.288925,0.00163776106086766,0.0014885299195776,448.743394901623,321.818116021613
